Quartiere,Numero maschi,Numero femmine,Numero totale maschi e femmine,Percentuale maschi,Percentuale femmine
ACQUATE,430,525,955,45.03,54.97
BELLEDO,313,416,729,42.94,57.06
BONACINA,130,156,286,45.45,54.55
CALEOTTO,171,218,389,43.96,56.04
CASTELLO,638,870,1508,42.31,57.69
CHIUSO,212,252,464,45.69,54.31
GERMANEDO,497,747,1244,39.95,60.05
LAORCA,179,212,391,45.78,54.22
LECCO CENTRO,699,1068,1767,39.56,60.44
MAGGIANICO,404,512,916,44.1,55.9
OLATE,251,387,638,39.34,60.66
PESCARENICO,304,356,660,46.06,53.94
RANCIO,272,292,564,48.23,51.77
SANTO STEFANO,631,926,1557,40.53,59.47
SAN GIOVANNI,428,558,986,43.41,56.59
